
2 theta/deg	Intensity
   13.87368       449.0000    
   13.90711       418.0000    
   13.94053       487.0000    
   13.97395       459.0000    
   14.00737       457.0000    
   14.04080       438.0000    
   14.07422       434.0000    
   14.10764       463.0000    
   14.14106       425.0000    
   14.17449       449.0000    
   14.20791       459.0000    
   14.24133       441.0000    
   14.27475       450.0000    
   14.30818       446.0000    
   14.34160       473.0000    
   14.37502       444.0000    
   14.40844       487.0000    
   14.44187       430.0000    
   14.47529       448.0000    
   14.50871       423.0000    
   14.54213       488.0000    
   14.57556       431.0000    
   14.60898       429.0000    
   14.64240       448.0000    
   14.67582       428.0000    
   14.70925       451.0000    
   14.74267       442.0000    
   14.77609       418.0000    
   14.80951       446.0000    
   14.84294       456.0000    
   14.87636       465.0000    
   14.90978       399.0000    
   14.94320       447.0000    
   14.97663       439.0000    
   15.01005       460.0000    
   15.04347       452.0000    
   15.07689       457.0000    
   15.11032       439.0000    
   15.14374       465.0000    
   15.17716       411.0000    
   15.21058       449.0000    
   15.24401       471.0000    
   15.27743       457.0000    
   15.31085       406.0000    
   15.34428       451.0000    
   15.37770       449.0000    
   15.41112       427.0000    
   15.44454       436.0000    
   15.47797       444.0000    
   15.51139       447.0000    
   15.54481       460.0000    
   15.57823       461.0000    
   15.61166       487.0000    
   15.64508       464.0000    
   15.67850       471.0000    
   15.71192       442.0000    
   15.74535       425.0000    
   15.77877       419.0000    
   15.81219       443.0000    
   15.84561       440.0000    
   15.87904       456.0000    
   15.91246       470.0000    
   15.94588       451.0000    
   15.97930       468.0000    
   16.01273       419.0000    
   16.04615       470.0000    
   16.07957       433.0000    
   16.11299       445.0000    
   16.14642       481.0000    
   16.17984       418.0000    
   16.21326       436.0000    
   16.24669       472.0000    
   16.28011       459.0000    
   16.31353       483.0000    
   16.34695       433.0000    
   16.38037       412.0000    
   16.41380       477.0000    
   16.44722       478.0000    
   16.48064       457.0000    
   16.51406       446.0000    
   16.54749       431.0000    
   16.58091       444.0000    
   16.61433       454.0000    
   16.64775       436.0000    
   16.68118       427.0000    
   16.71460       421.0000    
   16.74802       457.0000    
   16.78144       406.0000    
   16.81487       460.0000    
   16.84829       460.0000    
   16.88171       493.0000    
   16.91513       481.0000    
   16.94856       429.0000    
   16.98198       458.0000    
   17.01540       456.0000    
   17.04882       461.0000    
   17.08225       473.0000    
   17.11567       459.0000    
   17.14909       472.0000    
   17.18251       432.0000    
   17.21594       459.0000    
   17.24936       478.0000    
   17.28278       471.0000    
   17.31620       454.0000    
   17.34963       410.0000    
   17.38305       440.0000    
   17.41647       477.0000    
   17.44989       484.0000    
   17.48332       472.0000    
   17.51674       447.0000    
   17.55016       432.0000    
   17.58358       422.0000    
   17.61701       474.0000    
   17.65043       416.0000    
   17.68385       473.0000    
   17.71728       428.0000    
   17.75070       461.0000    
   17.78412       450.0000    
   17.81754       463.0000    
   17.85097       440.0000    
   17.88439       432.0000    
   17.91781       442.0000    
   17.95123       430.0000    
   17.98466       448.0000    
   18.01808       416.0000    
   18.05150       434.0000    
   18.08492       466.0000    
   18.11835       463.0000    
   18.15177       389.0000    
   18.18519       410.0000    
   18.21861       427.0000    
   18.25204       437.0000    
   18.28546       477.0000    
   18.31888       465.0000    
   18.35230       476.0000    
   18.38573       426.0000    
   18.41915       422.0000    
   18.45257       468.0000    
   18.48599       434.0000    
   18.51942       470.0000    
   18.55284       464.0000    
   18.58626       463.0000    
   18.61968       452.0000    
   18.65311       463.0000    
   18.68653       469.0000    
   18.71995       451.0000    
   18.75337       447.0000    
   18.78680       466.0000    
   18.82022       436.0000    
   18.85364       474.0000    
   18.88706       427.0000    
   18.92049       469.0000    
   18.95391       464.0000    
   18.98733       431.0000    
   19.02075       483.0000    
   19.05418       423.0000    
   19.08760       487.0000    
   19.12102       468.0000    
   19.15445       442.0000    
   19.18787       437.0000    
   19.22129       464.0000    
   19.25471       427.0000    
   19.28814       451.0000    
   19.32156       456.0000    
   19.35498       456.0000    
   19.38840       451.0000    
   19.42183       421.0000    
   19.45525       443.0000    
   19.48867       454.0000    
   19.52209       455.0000    
   19.55552       464.0000    
   19.58894       446.0000    
   19.62236       447.0000    
   19.65578       405.0000    
   19.68921       472.0000    
   19.72263       445.0000    
   19.75605       443.0000    
   19.78947       426.0000    
   19.82290       443.0000    
   19.85632       398.0000    
   19.88974       456.0000    
   19.92316       394.0000    
   19.95658       410.0000    
   19.99001       446.0000    
   20.02343       445.0000    
   20.05685       475.0000    
   20.09027       409.0000    
   20.12370       483.0000    
   20.15712       441.0000    
   20.19054       439.0000    
   20.22396       467.0000    
   20.25739       449.0000    
   20.29081       447.0000    
   20.32423       449.0000    
   20.35765       405.0000    
   20.39108       449.0000    
   20.42450       457.0000    
   20.45792       463.0000    
   20.49135       439.0000    
   20.52477       447.0000    
   20.55819       405.0000    
   20.59161       444.0000    
   20.62504       459.0000    
   20.65846       415.0000    
   20.69188       433.0000    
   20.72530       445.0000    
   20.75873       466.0000    
   20.79215       445.0000    
   20.82557       431.0000    
   20.85899       444.0000    
   20.89242       430.0000    
   20.92584       458.0000    
   20.95926       424.0000    
   20.99268       423.0000    
   21.02611       426.0000    
   21.05953       456.0000    
   21.09295       439.0000    
   21.12637       454.0000    
   21.15980       456.0000    
   21.19322       415.0000    
   21.22664       415.0000    
   21.26006       399.0000    
   21.29349       390.0000    
   21.32691       437.0000    
   21.36033       443.0000    
   21.39375       421.0000    
   21.42718       443.0000    
   21.46060       424.0000    
   21.49402       458.0000    
   21.52744       427.0000    
   21.56087       404.0000    
   21.59429       453.0000    
   21.62771       416.0000    
   21.66114       439.0000    
   21.69456       424.0000    
   21.72798       474.0000    
   21.76140       446.0000    
   21.79483       422.0000    
   21.82825       439.0000    
   21.86167       415.0000    
   21.89509       394.0000    
   21.92852       424.0000    
   21.96194       429.0000    
   21.99536       450.0000    
   22.02878       449.0000    
   22.06221       442.0000    
   22.09563       437.0000    
   22.12905       410.0000    
   22.16247       428.0000    
   22.19590       441.0000    
   22.22932       447.0000    
